sentence,sentence_id,target_idx,instance_id,target,worker_id,general_comment,question_template_worker,question_worker,answer_worker,answer_range_worker,property_worker,comment_worker,expert_id,question_template_expert,question_expert,answer_expert,answer_range_expert,property_expert,comment_expert,mismatch_type
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,A1FS8SBR4SDWYG,,What/Who is (the) [W]?,What is (the) age?,between eight and seventeen years,"(15, 20)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of age?,between eight and seventeen years,"(15, 20)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A1FS8SBR4SDWYG,,Whose [W]?,Whose counts?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A1FS8SBR4SDWYG,,What is the [W] a part/member of?,What is the counts a part of?,alleged events between 1974 and 1984,"(6, 12)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A1FS8SBR4SDWYG,,How much /How many [W]?,How much /How many indecent?,three counts,"(27, 29)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,29,Wiki1k:wikinews:614764:0:1_29,indecent,A1FS8SBR4SDWYG,,What/Who is (the) [W]?,Who is (the) indecent?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A1FS8SBR4SDWYG,,What is the [PROPERTY] of (the) [W]?,What is the source of (the) complaints?,alleged events between 1974 and 1984,"(6, 12)",source,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A1FS8SBR4SDWYG,,What is the [PROPERTY] of (the) [W]?,What is the perpetrator of (the) assault?,Hall,"(23, 24)",perpetrator,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A1FS8SBR4SDWYG,,What/Who is a part/member of [W]?,Who is a part of assault?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A1FS8SBR4SDWYG,,What/Who is a part/member of [W]?,Who is a member of events?,ree females between eight and seventeen years of age,"(13, 22)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A1FS8SBR4SDWYG,,What is the [PROPERTY] of (the) [W]?,What is the nature of (the) events?,indecent assault,"(30, 32)",nature,,,,,,,,,answer
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,4,Wiki1k:wikipedia:10406:28:0_4,snake,A1FS8SBR4SDWYG,,Where is the [W]?,Where is the snake?,n her presence,"(6, 9)",,,,,,,,,,answer
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,7,Wiki1k:wikipedia:10406:28:0_7,presence,A1FS8SBR4SDWYG,,What/Who is a part/member of [W]?,What is a part of presence?,the snake,"(4, 6)",,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,10,Wiki1k:wikipedia:16016:33:6_10,people,A1FS8SBR4SDWYG,,What is the [PROPERTY] of (the) [W]?,What is the gesture of (the) people?,people offer them food,"(5, 6)",gesture,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,4,Wiki1k:wikipedia:16016:33:6_4,food,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of food?,what people offer them,"(10, 14)",,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,4,Wiki1k:wikipedia:16016:33:6_4,food,A1FS8SBR4SDWYG,,Whose [W]?,Whose food?,them .,"(13, 14)",,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,4,Wiki1k:wikipedia:16016:33:6_4,food,A1FS8SBR4SDWYG,,What is the [PROPERTY] of (the) [W]?,What is the source of (the) food?,people,"(11, 12)",source,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,4,Wiki1k:wikipedia:16016:33:6_4,food,A1FS8SBR4SDWYG,,What is the [W] a part/member of?,What is the food a part of?,what people offer them,"(10, 14)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,28,Wiki1k:wikipedia:19572217:14:6_28,humans,A1FS8SBR4SDWYG,,What/Who is a part/member of [W]?,What is a part of humans?,"only H 1 , 2 and 3 , and N 1 and 2 subtypes","(8, 9)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,28,Wiki1k:wikipedia:19572217:14:6_28,humans,A1FS8SBR4SDWYG,,What is the [PROPERTY] of (the) [W]?,What is the subtypes of (the) humans?,"H 1 , 2 and 3 , and N 1 and 2","(13, 25)",subtypes,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A1FS8SBR4SDWYG,,How much /How many [W]?,How much /How many subtypes?,16 H and 9 N,"(3, 8)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of subtypes?,known subtypes,"(8, 9)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,A1FS8SBR4SDWYG,,Whose [W]?,Whose film?,Stefan Ruzowitzky,"(12, 14)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,A1FS8SBR4SDWYG,,What is the [PROPERTY] of (the) [W]?,What is the director of (the) film?,Stefan Ruzowitzky,"(12, 14)",director,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of film?,Austrian film,"(3, 5)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of director?,The first Austrian film director to receive an Academy Award,"(1, 11)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A1FS8SBR4SDWYG,,What is the [PROPERTY] of (the) [W]?,What is the achievement of (the) director?,an Academy Award,"(8, 11)",achievement,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A1FS8SBR4SDWYG,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose family?,our,"(13, 14)",,,answer
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A1FS8SBR4SDWYG,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the counterpart of (the) loss?,Canada,"(6, 7)",counterpart,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A1FS8SBR4SDWYG,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a member of relation?,complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(4, 22)",,"Hard to find appropriate question.
QANom is much better here",answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A1FS8SBR4SDWYG,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a member of relation?,Hall was charged with three counts of indecent assault after being arrested Wednesday,"(23, 36)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A1FS8SBR4SDWYG,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,16,"(3, 4)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A1FS8SBR4SDWYG,,,,,,,,AZC7J87AH18DW,What kind of [W]?,What kind of subtypes?,H,"(4, 5)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A1FS8SBR4SDWYG,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many subtypes?,9,"(6, 7)",,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A1FS8SBR4SDWYG,,,,,,,,AZC7J87AH18DW,What/Who is a part/member of [W]?,What is a part of subtypes?,"H 1 , 2 and 3 , and N 1 and 2","(13, 25)",,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A1FS8SBR4SDWYG,,,,,,,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the nationality of (the) director?,Austrian,"(3, 4)",nationality,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of information?,on the whereabouts of our family members,"(9, 16)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) information?,the whereabouts of our family members,"(10, 16)",content,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A1FS8SBR4SDWYG,,What/Who is (the) [W]?,What is (the) information?,the whereabouts of our family members,"(10, 16)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) information?,the whereabouts of our family members,"(10, 16)",content,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,6,Wiki1k:wikinews:1823406:7:0_6,information,A1FS8SBR4SDWYG,,What/Who is a part/member of [W]?,What is a part of information?,the whereabouts of our family members,"(10, 16)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) information?,the whereabouts of our family members,"(10, 16)",content,,question
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A1FS8SBR4SDWYG,,What/Who is a part/member of [W]?,Who is a part of loss?,Australia,"(1, 2)",,,AZC7J87AH18DW,Whose [W]?,Whose loss?,Australia,"(1, 2)",,,question
"Australia had a loss to Canada 50 -- 57 , but bounced back to win against the Netherlands , 58 -- 49 .",Wiki1k:wikinews:523166:1:2,3,Wiki1k:wikinews:523166:1:2_3,loss,A1FS8SBR4SDWYG,,What is the [PROPERTY] of (the) [W]?,What is the result of (the) loss?,"50 -- 57 ,","(7, 11)",result,,AZC7J87AH18DW,How much /How many [W]?,How much /How many loss?,50 -- 57,"(7, 10)",,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of counts?,counts of indecent assault,"(28, 32)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) counts?,indecent assault,"(30, 32)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A1FS8SBR4SDWYG,,What/Who is a part/member of [W]?,Who is a part of complaints?,Hall,"(23, 24)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the object of (the) complaints?,Hall,"(23, 24)",object,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of complaints?,complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(4, 22)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) complaints?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(6, 22)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A1FS8SBR4SDWYG,,What/Who is (the) [W]?,What is (the) complaints?,"complaints about indecent assault involving three females between eight and seventeen years of age ,","(12, 23)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the content of (the) complaints?,alleged events between 1974 and 1984 involving three females between eight and seventeen years of age,"(6, 22)",content,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A1FS8SBR4SDWYG,,What/Who is a part/member of [W]?,Who is a part of assault?,"three females between eight and seventeen years of age ,","(13, 23)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the victim of (the) assault?,three females between eight and seventeen years of age,"(13, 22)",victim,,question
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of events?,alleged events,"(6, 8)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the veracity of (the) events?,alleged,"(6, 7)",veracity,,question
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A1FS8SBR4SDWYG,,What kind of [W]?,What kind of director?,Austrian film director,"(3, 6)",,,AZC7J87AH18DW,What is the [PROPERTY] of (the) [W]?,What is the domain of (the) director?,film director,"(4, 6)",domain,,question
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,10,Wiki1k:wikinews:1823406:7:0_10,whereabouts,A1NGGAVIGC9O7V,,What/Who is a part/member of [W]?,Who is a member of whereabouts?,family members,"(14, 15)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,10,Wiki1k:wikinews:1823406:7:0_10,whereabouts,A1NGGAVIGC9O7V,,Whose [W]?,Whose whereabouts?,family members,"(14, 15)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A1NGGAVIGC9O7V,,Whose [W]?,Whose family?,woman at Juanda,"(20, 22)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,14,Wiki1k:wikinews:1823406:7:0_14,members,A1NGGAVIGC9O7V,,Whose [W]?,Whose members?,woman at Juanda,"(20, 22)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A1NGGAVIGC9O7V,,What is the [W] a part/member of?,What is the woman a member of?,family,"(14, 15)",,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A1NGGAVIGC9O7V,,What is the [PROPERTY] of (the) [W]?,What is the recipient of (the) woman?,Antara,"(24, 25)",recipient,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,1,Wiki1k:wikinews:614764:0:1_1,relation,A1NGGAVIGC9O7V,,What is the [PROPERTY] of (the) [W]?,What is the outcome of (the) relation?,three counts of indecent assault,"(27, 31)",outcome,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,13,Wiki1k:wikinews:614764:0:1_13,females,A1NGGAVIGC9O7V,,What is the [W] a part/member of?,What is the females a part of?,indecent assault,"(30, 31)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,13,Wiki1k:wikinews:614764:0:1_13,females,A1NGGAVIGC9O7V,,When is the [W]?,When is the females?,between 1974 and 1984,"(8, 11)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,18,Wiki1k:wikinews:614764:0:1_18,years,A1NGGAVIGC9O7V,,Whose [W]?,Whose years?,three females,"(13, 14)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,20,Wiki1k:wikinews:614764:0:1_20,age,A1NGGAVIGC9O7V,,What/Who is (the) [W]?,What is (the) age?,between eight and seventeen,"(15, 18)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,27,Wiki1k:wikinews:614764:0:1_27,counts,A1NGGAVIGC9O7V,,Whose [W]?,Whose counts?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,3,Wiki1k:wikinews:614764:0:1_3,complaints,A1NGGAVIGC9O7V,,What is the [PROPERTY] of (the) [W]?,What is the nature of (the) complaints?,indecent assault,"(30, 31)",nature,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A1NGGAVIGC9O7V,,What/Who is a part/member of [W]?,Who is a part of assault?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,30,Wiki1k:wikinews:614764:0:1_30,assault,A1NGGAVIGC9O7V,,What/Who is a part/member of [W]?,Who is a part of assault?,three females,"(13, 14)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A1NGGAVIGC9O7V,,What/Who is a part/member of [W]?,Who is a member of events?,three females,"(13, 14)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A1NGGAVIGC9O7V,,What/Who is a part/member of [W]?,Who is a member of events?,Hall,"(23, 24)",,,,,,,,,,answer
"In relation to complaints about alleged events between 1974 and 1984 involving three females between eight and seventeen years of age , Hall was charged with three counts of indecent assault after being arrested Wednesday .",Wiki1k:wikinews:614764:0:1,6,Wiki1k:wikinews:614764:0:1_6,events,A1NGGAVIGC9O7V,,What/Who is (the) [W]?,What is (the) events?,indecent assault,"(30, 31)",,,,,,,,,,answer
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,4,Wiki1k:wikipedia:10406:28:0_4,snake,A1NGGAVIGC9O7V,,Where is the [W]?,Where is the snake?,her presence,"(7, 8)",,,,,,,,,,answer
Jenny cognitively assesses the snake in her presence .,Wiki1k:wikipedia:10406:28:0,7,Wiki1k:wikipedia:10406:28:0_7,presence,A1NGGAVIGC9O7V,,What/Who is (the) [W]?,What is (the) presence?,snake,"(5, 6)",,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,10,Wiki1k:wikipedia:16016:33:6_10,people,A1NGGAVIGC9O7V,,What is the [PROPERTY] of (the) [W]?,What is the property of (the) people?,food,"(5, 6)",property,,,,,,,,,answer
They do not prepare food and live only on what people offer them .,Wiki1k:wikipedia:16016:33:6,4,Wiki1k:wikipedia:16016:33:6_4,food,A1NGGAVIGC9O7V,,What kind of [W]?,What kind of food?,what people offer them,"(10, 13)",,,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,28,Wiki1k:wikipedia:19572217:14:6_28,humans,A1NGGAVIGC9O7V,,What is the [PROPERTY] of (the) [W]?,What is the subtypes found of (the) humans?,"H 1 , 2 and 3 , and N 1 and 2","(13, 24)",subtypes found,My ideal question would have been What subtypes are found in humans? but I couldn't find a prompt to get there.,,,,,,,,answer
"There are 16 H and 9 N subtypes known , but only H 1 , 2 and 3 , and N 1 and 2 are commonly found in humans .",Wiki1k:wikipedia:19572217:14:6,7,Wiki1k:wikipedia:19572217:14:6_7,subtypes,A1NGGAVIGC9O7V,,How much /How many [W]?,How much /How many subtypes?,16 H and 9 N,"(3, 7)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,A1NGGAVIGC9O7V,,What/Who is a part/member of [W]?,Who is a member of film?,director,"(5, 6)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,3,Wiki1k:wikipedia:26964606:106:0_3,film,A1NGGAVIGC9O7V,,What/Who is a part/member of [W]?,Who is a member of film?,Stefan Ruzowitzky,"(12, 13)",,,,,,,,,,answer
The first Austrian film director to receive an Academy Award was Stefan Ruzowitzky .,Wiki1k:wikipedia:26964606:106:0,4,Wiki1k:wikipedia:26964606:106:0_4,director,A1NGGAVIGC9O7V,,What is the [PROPERTY] of (the) [W]?,What is the honor of (the) director?,Academy Award,"(9, 10)",honor,,,,,,,,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,10,Wiki1k:wikinews:1823406:7:0_10,whereabouts,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose whereabouts?,our family members,"(13, 16)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose family?,our,"(13, 14)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,13,Wiki1k:wikinews:1823406:7:0_13,family,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,Whose [W]?,Whose family?,one weeping woman at Juanda,"(18, 23)",,,answer
"`` I hope I can get information soon on the whereabouts of our family members , '' one weeping woman at Juanda told Antara .",Wiki1k:wikinews:1823406:7:0,19,Wiki1k:wikinews:1823406:7:0_19,woman,A1NGGAVIGC9O7V,,,,,,,,AZC7J87AH18DW,How much /How many [W]?,How much /How many woman?,one,"(18, 19)",,,answer
